338.3741	315.4022
337.7355	316.1732
337.0819	316.9316
336.4137	317.6770
335.7312	318.4095
335.0348	319.1288
334.3250	319.8347
333.6021	320.5273
332.8665	321.2064
332.1186	321.8719
331.3588	322.5238
330.5873	323.1618
329.8047	323.7861
329.0112	324.3965
328.2071	324.9930
327.3930	325.5756
326.5690	326.1442
325.7355	326.6988
324.8929	327.2394
324.0415	327.7660
323.1815	328.2785
322.3133	328.7770
321.4372	329.2615
320.5535	329.7319
319.6624	330.1882
318.7643	330.6305
317.8594	331.0588
316.9479	331.4730
316.0303	331.8731
315.1066	332.2593
314.1772	332.6313
313.2422	332.9894
312.3021	333.3333
311.3569	333.6633
310.4069	333.9792
309.4523	334.2810
308.4934	334.5688
307.5305	334.8424
306.5636	335.1020
305.5930	335.3476
304.6190	335.5789
303.6417	335.7962
302.6614	335.9993
301.6782	336.1881
300.6925	336.3628
299.7043	336.5232
298.7139	336.6694
297.7215	336.8012
296.7272	336.9186
295.7314	337.0217
294.7342	337.1103
293.7359	337.1843
292.7365	337.2439
291.7364	337.2888
290.7357	337.3190
289.7347	337.3345
288.7336	337.3352
287.7325	337.3211
286.7318	337.2920
285.7317	337.2479
284.7323	337.1888
283.7339	337.1145
282.7368	337.0250
281.7412	336.9202
280.7473	336.8000
279.7554	336.6644
278.7657	336.5132
277.7786	336.3465
276.7942	336.1642
275.8128	335.9665
274.8345	335.7539
273.8595	335.5267
272.8879	335.2853
271.9198	335.0301
270.9555	334.7613
269.9949	334.4794
269.0381	334.1847
268.0852	333.8775
267.1364	333.5583
266.1915	333.2273
265.2508	332.8849
264.3141	332.5315
263.3816	332.1673
262.4532	331.7926
261.5290	331.4079
260.6089	331.0133
259.6929	330.6092
258.7811	330.1958
257.8734	329.7736
256.9697	329.3427
256.0702	328.9033
255.1746	328.4559
254.2830	328.0006
253.3953	327.5377
252.5115	327.0675
251.6315	326.5901
250.7553	326.1058
249.8828	325.6149
249.0139	325.1176
248.1486	324.6141
247.2868	324.1045
246.4285	323.5893
245.5736	323.0684
244.7222	322.5416
243.8749	322.0083
243.0321	321.4681
